Date,Portfolio Value,Cash,Return %,Peak,Drawdown %
2026-04-02,10000.0,0,0.0,10000.0,0.0
2026-04-06,10428.096405401817,0,4.280964054018166,10428.096405401817,0.0
2026-04-07,10421.892366856411,0,4.218923668564112,10428.096405401817,-0.0594934905108091
2026-04-08,11659.606440713316,0,16.59606440713317,11659.606440713316,0.0
2026-04-09,12288.561943701627,0,22.88561943701626,12288.561943701627,0.0
2026-04-10,12267.783731626501,0,22.677837316265006,12288.561943701627,-0.169085790268364
2026-04-13,13013.914843538358,0,30.139148435383568,13013.914843538358,0.0
2026-04-14,13973.202117268484,0,39.73202117268484,13973.202117268484,0.0
2026-04-15,13345.087751480445,0,33.450877514804446,13973.202117268484,-4.495135478014712
2026-04-16,13607.74359376688,0,36.07743593766879,13973.202117268484,-2.615424298843849
2026-04-17,13626.380970484694,0,36.26380970484693,13973.202117268484,-2.4820448732733813
2026-04-20,13392.035485325014,0,33.92035485325013,13973.202117268484,-4.159151403279626
2026-04-21,13311.281652906782,0,33.112816529067814,13973.202117268484,-4.737070707248137
2026-04-22,14792.895496587435,0,47.92895496587435,14792.895496587435,0.0
2026-04-23,14278.782025658531,0,42.78782025658532,14792.895496587435,-3.4754079824839135
2026-04-24,15023.16209599815,0,50.231620959981505,15023.16209599815,0.0
2026-04-27,16256.256238114744,0,62.56256238114744,16256.256238114744,0.0
2026-04-28,15181.095787991691,0,51.81095787991692,16256.256238114744,-6.613825682706754
2026-04-29,16001.047203328755,0,60.010472033287556,16256.256238114744,-1.5699127218948505
2026-04-30,16333.762559754161,0,63.33762559754162,16333.762559754161,0.0
2026-05-01,17574.915773616245,0,75.74915773616245,17574.915773616245,0.0
2026-05-04,19097.938723364656,0,90.97938723364656,19097.938723364656,0.0
2026-05-05,22152.2981530949,0,121.52298153094901,22152.2981530949,0.0
2026-05-06,23091.313076585877,0,130.91313076585877,23091.313076585877,0.0
2026-05-07,21743.28226955306,0,117.43282269553062,23091.313076585877,-5.837826556514425
2026-05-08,26760.763178650788,0,167.60763178650788,26760.763178650788,0.0
2026-05-11,28354.922171778915,0,183.54922171778915,28354.922171778915,0.0
2026-05-12,26205.422556635753,0,162.0542255663575,28354.922171778915,-7.580693052589349
2026-05-13,27629.28880232257,0,176.29288802322574,28354.922171778915,-2.5591090148663898
2026-05-14,26180.787959583635,0,161.80787959583634,28354.922171778915,-7.66757249067378
2026-05-15,24560.427830035653,0,145.60427830035653,28354.922171778915,-13.382136331588478
2026-05-18,22520.69942263675,0,125.20699422636751,28354.922171778915,-20.575696571471635
2026-05-19,23388.688648930824,0,133.8868864893082,28354.922171778915,-17.514537662144892
2026-05-20,24521.67151584835,0,145.2167151584835,28354.922171778915,-13.518819176113706
2026-05-21,26825.749688744552,0,168.2574968874455,28354.922171778915,-5.39297012973754
2026-05-22,25832.477017741094,0,158.32477017741095,28354.922171778915,-8.895969238626089
2026-05-26,31589.849837726797,0,215.89849837726797,31589.849837726797,0.0
2026-05-27,32687.006020683166,0,226.87006020683165,32687.006020683166,0.0
2026-05-28,33054.771402032544,0,230.54771402032546,33054.771402032544,0.0
2026-05-29,35124.71103688961,0,251.2471103688961,35124.71103688961,0.0
2026-06-01,38387.683924114375,0,283.8768392411437,38387.683924114375,0.0
2026-06-02,39248.64541357986,0,292.4864541357986,39248.64541357986,0.0
2026-06-03,40572.19556145659,0,305.7219556145659,40572.19556145659,0.0
